WEEK,DAY,EXERCISE,W,SETS,REPS,RPE,REST,SUB 1,SUB 2,NOTE
WEEK6|Push #1|Bench Press|3-4|1|3-5|7|~3-4m|DB Bench Press|Machine Chest Press|편안한 아치를 만들고, 가슴에서 잠시 멈춘 뒤 매 횟수마다 폭발적으로 밀어 올리세요.
||Bottom Half DB Pullover|1|2|10-12|8|0m|Cable Pullover|1-Arm Lat Pull-In|덤벨 랫 풀오버를 수행하되, 가동 범위의 상단 절반은 제외하세요. (리프팅의 스트레칭되는 구간에만 완전히 머무르세요)
||↳Lat Static Stretch|0|2|30s hold|-|0m|-|-|30초 동안 광배근 스트레칭 상태를 유지하세요. 스트레칭 강도는 10점 만점에 약 7점 정도로 유지해야 합니다.
||Face Pull|1|3|12-15|8|~1-2m|Reverse Cable Flye|Bent Over DB Flye|1세트: 아래에서 위로, 2세트: 중간 범위, 3세트: 위에서 아래로
||Hammer Curl(Cable)+Drop|1|3|6-8|8|~1-2m|DB Curl|Cable Curl|이두근을 수축하는 데 집중하고, 상체의 반동은 최소화하세요.
|Legs #1|Squat|3-4|1|1-3|7|~3-4m|Hack Squat|DB Bulgarian Split|엉덩이를 뒤로 빼면서 아래로 앉으세요. 상부 등은 바벨에 밀착시켜 단단하게 유지합니다.
||Pause Squat|0|2|5|7|~3-4m|Pause Hack Squat|Pause DB Bulgarian|첫 번째 본 세트(top set)에서 무게를 약 25% 줄이세요. 2초간 정지합니다. 엉덩이를 뒤로 빼면서 아래로 앉고, 상부 등은 바벨에 밀착시켜 단단하게 유지하세요.
||Barbell RDL|2|3|8-10|7|~2-3m|DB RDL|45° Hyperextension|요추의 중립을 유지하고, 엉덩이를 뒤로 보내세요. 척추가 굽어지지 않게 합니다.
||Walking Lunge|1|2|10|7|~2-3m|DB Step Up|Goblet Squat|중간 정도의 보폭을 취하고, 뒷다리로 밀어내는 힘을 최소화하세요.
||Seated Leg Curl|1|3|10-12|8|~1-2m|Lying Leg Curl|Nordic Curl|햄스트링을 쥐어짜며 무게를 움직이는 데 집중하세요.
||Leg Press Toe Press|1|4|10-12|8|~1-2m|Seated Calf Raise|Standing Calf Raise|발가락 끝까지 끝까지 밀어 올리세요. 하단에서는 종아리를 스트레칭하되, 반동을 주지 마세요.
||Decline Plate Crunch|1|3|10-12|8|~1-2m|Cable Crunch|Machine Crunch|원판이나 덤벨을 가슴에 대고 강하게 크런치를 하세요.
|Push #2|Close Grip Incline Press|2-3|3|8,5,15|7|~3-4m|Close Grip DB Incline|Machine Press|약 45도 경사를 사용하고, 어깨너비보다 약간 넓은 그립 너비를 취하세요.
||Machine Shoulder Press|2|3|10-12|7|~2-3m|Seated DB Press|Standing Arnold Press|반복 사이에 멈추지 마세요. 삼각근에 부드럽고 통제된 긴장을 유지합니다.
||Floor Skull Crusher|1|3|6-8|7|~1-2m|DB Floor Skull|Cable OH Ext|바벨을 머리 뒤쪽으로 호를 그리며 보내세요. 반복 사이에는 바벨이 바닥에 완전히 멈추게(dead stop) 둡니다.
||Dips (Assist)|1|3|10-12|8|~1-2m|Pec Deck|DB Flye|상단에서 가슴 근육을 서로 모아 쥐어짜고, 하단에서는 큰 스트레칭을 느끼세요.
||Cable Lateral Raise|1|3|5,15|8|~1-2m|DB Lateral Raise|Machine Lateral Raise|처음 5회: 5초 동안 내리는 동작(이완) 수행, 나머지 15회: 지속적인 긴장 유지 (하단이나 상단에서 멈추지 않음).
||Plate Front Raise(Handling)|1|2|15-20|8|~1-2m|DB Front Raise|Cable Front Raise|원판을 들어 올릴 때 자동차 핸들처럼 한쪽이 위로 가도록 돌리세요.
||Diamond Push Up|0|1|AMRAP|10|0m|Close Grip Push Up|Kneeling Push Up|바닥에 두 손을 모아 다이아몬드 모양을 만들고, 부드러운 템포로 가능한 한 많은 횟수의 푸쉬업을 수행하세요.
|Pull #2|1-Arm Half Kneeling Pulldown|1|3|12-15|7|~1-2m|1-Arm Lat Pull In|Cable Pullover|가슴을 높게 들고, 팔꿈치를 몸통에 가깝게 붙이세요. 광배근을 쥐어짜며 무게를 움직이는 데 집중합니다.
||Pull Up|2|1|AMRAP|10|~2-3m|Lat Pulldown|Machine Pulldown|어깨너비의 1.5배로 그립을 잡고, 가슴을 바 쪽으로 당기세요.
||Kroc Row|2|3|10-12|7|~2-3m|Single Arm DB Row|Meadows Row|크록 로우는 기본적으로 약간의 반동을 허용하고 상체를 조금 더 세운 상태에서 수행하는 덤벨 로우입니다. 무거운 무게를 사용하는 것을 두려워하지 말고, 악력이 부족하다면 스트랩을 사용하세요.
||Cable Shrug|1|3|10-12|8|~1-2m|DB Shrug|Plate Shrug|두 개의 케이블 손잡이를 낮게 설정하고 위와 안쪽 방향으로 슈러그를 하세요. 상부 승모근을 쥐어짜며 무게를 움직입니다.
||Reverse Pec Deck|1|3|10-12|8|~1-2m|Reverse Cable Flye|Bent Over DB Flye|무게를 뒤쪽이 아닌 바깥쪽으로 휘두르세요.
||Cable Bicep Curl|1|3|10-12|8|~1-2m|DB Incline Curl|DB Curl|팔을 약 60도 옆으로 벌린 상태에서 몸 안쪽을 가로질러 컬을 하세요.
|Legs #2|Deadlift|3-4|1|4|5-6|~3-5m|Trap Bar Deadlift|Barbell Hip Thrust|광배근을 단단히 고정하고 가슴을 높게 드세요. 들어 올리기 전에 바벨의 유격(slack)을 먼저 제거하십시오.
||Stiff Leg Deadlift|0|2|8|7|~3-4m|Barbell RDL|DB RDL|무릎을 약간만 굽힌 채로 엉덩이 위치를 높게 잡은 컨벤셔널 데드리프트를 한다고 생각하세요.
||Leg Press|2-3|4|10-12|7|~2-3m|Goblet Squat|Walking Lunge|발판 위에서 발을 중간 너비로 배치하고, 요추가 굽어지지 않게 합니다.
||Glute Ham Raise|1|3|8-10|8|~1-2m|Nordic Curl|Lying Leg Curl|골반을 일직선으로 유지하세요. GHR 기구가 없다면 노르딕 햄 스트링 컬을 수행합니다.
||Slow Eccentric Leg Extension|1|3|8-10|8|~1-2m|DB Step Up|Goblet Squat|3~4초 동안 내리는 동작(네거티브)을 하며 무게를 통제하세요.
||Seated Calf Raise|1|4|15-20|8|~1-2m|Standing Calf Raise|Leg Press Toe Press|발가락 끝까지 끝까지 밀어 올리세요. 하단에서는 종아리를 스트레칭하되, 반동을 주지 마세요.
||Roman Chair Leg Raise|1|3|10-20|8|~1-2m|Hanging Leg Raise|Reverse Crunch|하단에서 다리를 흔들지 말고 반동을 최소화하세요. 다리를 곧게 펴서 들어 올리는 것이 너무 어렵다면 무릎을 가슴 쪽으로 당기며 수행합니다.
